V1,V2,V3,subtissue,tissue
-38.2165591505877,14.1822481234328,2.9372272127967,Muscle-Skeletal,Muscle
-18.9013630485156,-11.1854816037169,1.11812438450927,Artery-Tibial,Artery
-26.6898148562697,-23.1777431104044,9.76490378390161,Artery-Coronary,Artery
-8.01216979309668,-5.99926699998764,38.0023700376411,Heart-AtrialAppendage,Heart
-8.14552849801693,1.95847649939458,-12.1215927679842,Ovary,Ovary
-5.96869303243533,15.7774834085618,5.34119000438337,Uterus,Uterus
-3.97564776403629,-2.50604141989082,-38.4334235235928,Vagina,Vagina
6.74821104493358,9.69281579633515,-22.3986590474407,MinorSalivaryGland,MinorSalivaryGland
-0.995920429461856,-19.5180725218549,-0.204040399300513,Lung,Lung
10.4674407459869,14.4194768848274,-16.2370317993569,Spleen,Spleen
1.82519311179792,41.1389173215397,-0.912065427603937,Pancreas,Pancreas
-5.00198524287428,12.7487166859638,17.7761348119169,Esophagus-Muscularis,Esophagus
-8.09893126621431,6.056058175637,15.0708263012916,SmallIntestine-TerminalIleum,SmallIntestine
-10.8530987328709,28.3869418183925,-12.1961240616967,Nerve-Tibial,Nerve
-3.16044386739703,3.03109107041701,-5.95249606213017,Adipose-Subcutaneous,Adipose
-21.4268414238648,-16.1855211818646,14.7570742278402,Artery-Tibial,Artery
13.4600209772819,-15.7576530254672,-14.0995272609519,Thyroid,Thyroid
-1.34874340623736,-13.9603508772863,1.85410731084622,Lung,Lung
-10.3570081772554,6.84828898670717,-15.7470235042665,Spleen,Spleen
9.17275860200751,-1.2130060487477,-3.58479089616864,Prostate,Prostate
6.25543165069016,10.3820322444227,-23.4883500996245,MinorSalivaryGland,MinorSalivaryGland
23.3497553593098,-12.9655804652407,26.6956429028852,Brain-Cortex,Brain
41.0741681072412,-9.15203999782214,-1.16435702837473,Brain-Cerebellum,Brain
-9.88063480472951,-34.148804100362,-20.2050634748454,Cells-Transformedfibroblasts,Cells
8.67087272967836,-18.1868859100537,-11.9945738191686,Thyroid,Thyroid
-12.4370045207612,-24.5438961774921,-1.85948828539503,Lung,Lung
-35.3536534061341,3.84944914022752,-22.268763015897,Testis,Testis
0.362408417011982,8.8042721045811,9.56349196071269,Colon-Transverse,Colon
-4.47592244113808,-9.67991008023752,-11.2714811927293,Adipose-Subcutaneous,Adipose
-46.0181738027553,2.00674226374322,5.85205055918165,Muscle-Skeletal,Muscle
35.2756836024132,9.75379048074948,16.4745296205034,WholeBlood,WholeBlood
-9.37015595428606,0.422700029244081,49.7766634818584,Heart-LeftVentricle,Heart
-28.379105461991,-14.6874696505134,8.81853129684891,Artery-Aorta,Artery
3.09292321050532,-20.6116595247416,2.28681731107051,Lung,Lung
7.15554069212836,-17.7778511361945,-12.2477353406988,Thyroid,Thyroid
1.06647336081303,40.5256868769138,-0.737470339400052,Pancreas,Pancreas
2.1065422642563,2.56320817714655,-6.78868489689189,Breast-MammaryTissue,Breast
-22.9578687341068,-17.9494257347932,12.1061332868869,Artery-Tibial,Artery
-41.1010228476758,13.2588877055958,5.92526577575552,Muscle-Skeletal,Muscle
-0.999473643498599,7.8815408663273,-8.1546987376617,Adipose-Subcutaneous,Adipose
24.7828267760659,3.13244767149775,-35.4055103474515,Cells-EBV-transformedlymphocytes,Cells
33.2712276804676,11.9144152074727,19.6728772064182,WholeBlood,WholeBlood
-14.998190767392,-35.7961971531734,-18.8388291038249,Cells-Transformedfibroblasts,Cells
-23.7664795364879,-20.0053292753831,14.2222437708363,Artery-Coronary,Artery
