V1,V2,V3,subtissue,tissue
-12.3898792877608,6.51671554870325,7.3677973832508,Adipose-Subcutaneous,Adipose
-6.34433217363785,-12.5590851527899,37.319118818126,Muscle-Skeletal,Muscle
10.6551174005856,-7.65790731193031,-6.73510984536961,Artery-Tibial,Artery
-8.60898078105243,-1.39228180269575,-19.0749647068966,Artery-Coronary,Artery
-6.96560804837459,5.75103546330116,-34.7133056507882,Heart-AtrialAppendage,Heart
-9.16147980426204,13.9187129423895,-0.852372835148507,Ovary,Ovary
-4.33516445118796,8.99202220952894,-11.5854616133377,Uterus,Uterus
-24.2646924002241,4.87927052501526,29.5065174209463,Vagina,Vagina
-10.578664988496,5.79319793333372,-2.9128874089444,Breast-MammaryTissue,Breast
-12.9156488297452,16.8489730352177,4.35954434662976,MinorSalivaryGland,MinorSalivaryGland
34.3722689499396,-21.3009887211959,3.59501701411606,Brain-Cortex,Brain
-24.8475383918684,21.151495815599,-10.2094425477579,Thyroid,Thyroid
-7.96779309982809,-13.9352170377392,-4.69391065655339,Lung,Lung
-12.5313989169015,28.7771196397283,4.39358301458863,Spleen,Spleen
-0.569305127261843,-41.5291024549866,-3.32166717088316,Pancreas,Pancreas
28.9730342670122,-6.12947852972828,-11.293830911401,Esophagus-Muscularis,Esophagus
-20.3377961120533,-2.23079569136426,19.2063238612317,Esophagus-Mucosa,Esophagus
24.2184692132966,-7.57791307068177,-12.2416388896756,Esophagus-GastroesophagealJunction,Esophagus
22.6200139778815,20.2245670955339,12.6632651614262,Stomach,Stomach
19.8393295400877,-0.41138970141573,-14.4663970523685,Colon-Sigmoid,Colon
24.2555329706899,4.40654496426417,-16.7948009119777,SmallIntestine-TerminalIleum,SmallIntestine
3.42759519407787,25.692379324714,16.3664014446501,Colon-Transverse,Colon
6.09625119125471,19.021825671564,-2.412632434995,Prostate,Prostate
44.0321555247662,16.1957288398596,-5.5973595147885,Testis,Testis
-10.1993629593787,7.63401392193497,6.40888209762853,Adipose-Subcutaneous,Adipose
-6.26416722747941,-4.55731997971849,38.5989305693339,Muscle-Skeletal,Muscle
-4.5058018850708,-18.6135587239006,17.2717651076845,Nerve-Tibial,Nerve
3.59877943163327,17.9895657187077,-11.6857269520134,Adipose-Subcutaneous,Adipose
0.760117504452185,3.95352402993305,41.455402557717,Muscle-Skeletal,Muscle
1.38746859539814,-11.8800174957897,-23.705616228215,Artery-Tibial,Artery
-9.0112215845978,-21.4004156414787,13.441103823878,Nerve-Tibial,Nerve
-5.19268645345498,6.63546265715806,-43.3231032119722,Heart-AtrialAppendage,Heart
4.44063597408583,0.641105325146107,-46.7733796163033,Heart-LeftVentricle,Heart
-16.1648444252468,16.1688154059762,-15.6903256923798,Thyroid,Thyroid
-0.619088341122446,4.5779161944719,-17.9002489859431,Lung,Lung
-24.9037665199368,14.6380324452746,-9.52324914647275,Spleen,Spleen
45.7811648643479,11.8977558408067,-1.15544646114051,Testis,Testis
2.36296037049455,25.4027460410102,-1.3718219741173,Prostate,Prostate
-16.3440330862989,18.1016246489853,4.12837157085771,MinorSalivaryGland,MinorSalivaryGland
36.2645327030758,-29.0743128807769,3.00471165244842,Brain-Cortex,Brain
19.7642393458015,-9.62441694943292,28.1828207384091,Brain-Cerebellum,Brain
-22.6490163503114,-29.823143434327,-9.98931332622415,Cells-Transformedfibroblasts,Cells
-2.08148537251661,10.4808918496755,-41.8664954012281,Heart-AtrialAppendage,Heart
-13.9011798118321,11.0606712388505,-15.0623348752106,Thyroid,Thyroid
-7.33250207676505,-17.0455034160699,-7.62902373757738,Lung,Lung
47.2659178767799,13.5127874156283,-4.81211196084212,Testis,Testis
3.89636409023959,11.5535155894233,-10.9474953218678,Colon-Transverse,Colon
-13.7542883331724,-2.32256387727491,-8.34756100274819,Adipose-Subcutaneous,Adipose
-6.49374984298343,-21.9579649913272,10.4985520239137,Nerve-Tibial,Nerve
0.349714385141923,4.66308001734492,44.7883629685496,Muscle-Skeletal,Muscle
-52.6901968557247,-3.56507917414494,-1.32455698397347,WholeBlood,WholeBlood
-26.6077809305227,-27.0804409542571,-11.1146492938129,Cells-Transformedfibroblasts,Cells
0.856869852855516,8.10486467475148,-44.7532722495196,Heart-AtrialAppendage,Heart
-1.71105011638622,-6.20786434550882,-47.6147150670758,Heart-LeftVentricle,Heart
-1.34477073366254,-17.4583061903076,-18.6627003300218,Artery-Aorta,Artery
-4.91798855805374,-12.6832842495919,-4.72062680036254,Lung,Lung
-18.07371294759,12.7531156110105,-12.4182184466624,Thyroid,Thyroid
24.8912379315434,3.81761026235991,-11.3034424715629,Esophagus-GastroesophagealJunction,Esophagus
-20.6827796287276,-1.59998061782433,17.9372792642489,Esophagus-Mucosa,Esophagus
31.5655221337892,-1.7868955390078,-9.34881801086513,Esophagus-Muscularis,Esophagus
23.9257491299592,21.0950777085105,8.41238600529384,Stomach,Stomach
-0.534900213184262,-41.9981541467029,-3.30578436215287,Pancreas,Pancreas
3.54889558165406,24.2535513206726,21.6175666254551,SmallIntestine-TerminalIleum,SmallIntestine
18.4404739968602,0.382151828002441,-9.89234428409419,Colon-Transverse,Colon
6.93897022363237,-10.4910720934907,-15.7449414189954,Prostate,Prostate
18.7416116708162,0.255688463345592,-9.81786368256338,Colon-Sigmoid,Colon
-1.83782914131641,9.70865273136968,5.59137418197891,Breast-MammaryTissue,Breast
42.5082964798057,15.24926691774,-2.19137388966,Testis,Testis
-0.416915854501038,-20.7135748010043,11.9458059360187,Nerve-Tibial,Nerve
4.61288000302302,-19.4112579488,-21.644468842176,Artery-Tibial,Artery
