structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
a.35.1,1,15,162,20230,0.119850414226898,0.251685869876486,0.000476190476190476,0.920389609172492,./generated_files/OUT/OUT
g.8.1,1,18,162,20230,0.140677932535554,0.289631037573199,0.000476190476190476,0.841208363124868,./generated_files/OUT/OUT
d.109.1,1,19,162,20230,0.147511004490064,0.292238782480315,0.000476190476190476,0.817727267275345,./generated_files/OUT/OUT
g.76.1,1,19,162,20230,0.147511004490064,0.292238782480315,0.000476190476190476,0.817727267275345,./generated_files/OUT/OUT
b.2.5,1,20,162,20230,0.154290074648743,0.300008478483667,0.000476190476190476,0.795450872564193,./generated_files/OUT/OUT
c.10.2,4,260,162,20230,0.159036299848857,0.303614754256909,0.000476190476190476,0.283567511585318,./generated_files/OUT/OUT
b.1.18,2,89,162,20230,0.163197577181446,0.305995457215211,0.000476190476190476,0.448120857247242,./generated_files/OUT/OUT
d.58.29,1,23,162,20230,0.174307499286393,0.321092761843356,0.000476190476190476,0.734753032210581,./generated_files/OUT/OUT
c.46.1,1,25,162,20230,0.187390128293271,0.339240749496439,0.000476190476190476,0.698540859556136,./generated_files/OUT/OUT
c.23.2,1,27,162,20230,0.200266729847012,0.349935837134144,0.000476190476190476,0.665117104069186,./generated_files/OUT/OUT
f.37.1,1,28,162,20230,0.206628780022066,0.349935837134144,0.000476190476190476,0.649322836885954,./generated_files/OUT/OUT
d.122.1,1,27,162,20230,0.200266729847012,0.349935837134144,0.000476190476190476,0.665117104069186,./generated_files/OUT/OUT
b.15.1,1,28,162,20230,0.206628780022066,0.349935837134144,0.000476190476190476,0.649322836885954,./generated_files/OUT/OUT
a.26.1,3,200,162,20230,0.219005696639522,0.359628889982401,0.000476190476190476,0.272572127283855,./generated_files/OUT/OUT
c.15.1,1,30,162,20230,0.219202371036892,0.359628889982401,0.000476190476190476,0.619359613508511,./generated_files/OUT/OUT
g.45.1,1,34,162,20230,0.243758475422711,0.393763691067456,0.000476190476190476,0.565001951185919,./generated_files/OUT/OUT
b.42.1,1,36,162,20230,0.255747142073138,0.394903675259992,0.000476190476190476,0.540178367460886,./generated_files/OUT/OUT
a.7.1,1,35,162,20230,0.249776608103436,0.394903675259992,0.000476190476190476,0.552412823877898,./generated_files/OUT/OUT
