V1,V2,V3,subtissue,tissue
8.55498174026841,15.9648469742143,-1.27812039924838,GSM1010940,SmallIntestine
5.80051297115884,17.6039124531789,1.07688938130413,GSM1010948,Ovary
-0.495563179527811,21.3846807628514,-1.26356220751334,GSM1010956,Esophagus
19.9482059603613,-1.58339803677437,-2.77348387379364,GSM1010976,Spleen
-11.2733219011536,-19.5959305672129,-10.6984191263836,GSM1098330,Adipose
0.884096082286881,20.767226150618,-0.805599980239682,GSM1120303,Esophagus
5.18907033724699,21.6077299351633,-1.38979979455422,GSM1120313,SmallIntestine
-6.77771768130903,-2.91040086211874,-15.5597340063977,GSM1120314,SmallIntestine
20.2726891572769,0.216500820295769,-2.76521894228687,GSM1120316,Spleen
20.2631476978706,-0.0563623957182986,-2.76105193210615,GSM1120317,Spleen
21.4135746095468,30.2779639405049,-0.0135275490684838,GSM1128650,Adipose
9.16421543971829,6.63753256938145,-15.5021591300068,GSM1131539,Colon
4.8795500764361,0.177562933824504,-15.2629339714473,GSM1131540,Colon
-18.19864589623,9.2542246526222,-17.1663058590486,GSM1154038,Prostate
17.3156374156963,-28.7928033710147,-12.3652264565772,GSM1156943,Brain
16.6265554460373,-29.2459107238561,-11.9452862983395,GSM1157621,Brain
17.1234362006627,-29.5890670646104,-12.0562628071821,GSM1157685,Brain
17.0827751666728,-29.2858171746313,-11.4636869676024,GSM1157698,Brain
16.7925463630423,-28.460602174427,-12.1528965990925,GSM1157990,Brain
16.8075777700148,-28.4965048115301,-11.650282089851,GSM1158003,Brain
17.5788435469223,-28.648699879948,-11.8145912664906,GSM1158299,Brain
-2.11487732548059,-7.80988040218759,-7.19366971714485,GSM1173237,Esophagus
-4.14157289647322,-8.21096448761634,-15.7241576796723,GSM1173238,Esophagus
6.09841812726552,11.6367259736199,9.57301749060754,GSM1177215,Prostate
10.4876047740385,7.63092488318892,7.4880855139757,GSM1177219,Prostate
14.0752548230522,6.64594956420409,13.6055137410712,GSM1185638,Thyroid
14.4197804090495,6.72146213625482,14.0063749234655,GSM1185639,Thyroid
13.2650444883582,7.16231054758083,12.2924501947327,GSM1185640,Thyroid
14.998286017038,6.2791905071881,12.0991467541133,GSM1185641,Thyroid
13.0296240308732,6.6920310568289,12.2208247794603,GSM1185642,Thyroid
11.8876798528628,7.98887553630783,7.25925239070834,GSM1185643,Thyroid
15.1900267169988,5.53804226797953,10.9498199841156,GSM1185644,Thyroid
14.753333659589,6.2374532251255,10.9567946731244,GSM1185645,Thyroid
15.9984136567809,6.39730401375013,12.7236026822143,GSM1185647,Thyroid
13.8915575922246,7.54923355327887,7.9007585423296,GSM1185648,Thyroid
8.78663573237452,12.6999068251682,0.920499509479722,GSM1196045,Ovary
6.94298566731402,-4.77386236700797,6.14082926416725,GSM1198467,Kidney
-15.0376176742818,11.6580576640885,-8.20580041117182,GSM1220263,Kidney
-14.8059342406643,11.2794707223697,-7.90969744620023,GSM1220267,Kidney
15.7161590536107,12.4322767116831,-11.7920399532199,GSM1228203,Colon
-5.4575555946534,13.7623915223796,1.60011776747868,GSM1234531,Prostate
-10.0049800730056,-18.7817510173769,6.99486119235735,GSM1266740,Brain
-3.80914354796644,-18.1960631619316,-14.1762880762547,GSM1267267,Lung
-17.11130992454,-17.4654782173264,-3.68049900811332,GSM1281758,Heart
4.73432956714729,-21.4161806841554,4.77767873855896,GSM1281764,Heart
-4.54413715985298,-16.3587529229317,5.16981623505606,GSM1281784,Heart
-14.0919508170314,-21.6957300239247,5.20852305832812,GSM1281785,Heart
-15.7334637492934,-13.4206389385998,9.41404011995488,GSM1281799,Heart
-11.6722768678504,-11.0822151422322,-1.06090557052487,GSM1281800,Heart
-13.7299463339909,-13.5147434655944,2.39103939077054,GSM1281801,Heart
-10.3781379360406,-9.74192917288141,-1.67126502878581,GSM1281835,Heart
-10.2742783797519,-10.3308901032908,-1.91429910285622,GSM1281837,Heart
-13.3713785143952,-11.7902718170142,8.68347713859647,GSM1281848,Heart
-9.95853088135584,-10.5586615655419,-2.1625608047531,GSM1281862,Heart
-23.8150934305148,13.6051580363933,-6.25123686159185,GSM1281879,Heart
-11.3185295047807,-17.3572669165321,-4.51298153501338,GSM1281880,Heart
-14.8294557070526,-17.5756725120996,6.01446779920177,GSM1281881,Heart
-13.6938934164566,-10.0234715707241,5.70013150249358,GSM1281883,Heart
-18.3850596754096,-16.3602484061,-5.42959514301752,GSM1281884,Heart
-16.240184426954,-13.4963229088522,-4.46941233520721,GSM1281885,Heart
-16.7324848001742,-17.2494014721653,-3.56390785212875,GSM1281886,Heart
-12.4455637326112,-13.3503495275974,8.20571045708705,GSM1281888,Heart
4.16201381486199,-7.69434109155058,15.5583418491628,GSM1293745,Prostate
-8.55642585177226,18.3634820617371,7.5190501702925,GSM1297632,Adipose
-7.91743970546804,19.1549780387028,7.18872642361157,GSM1297638,Adipose
-32.887042644933,3.47875442001829,12.8567446780779,GSM1297639,Adipose
-8.14441474669015,19.1509957181105,7.39625313298305,GSM1297643,Adipose
-8.79811368243423,19.9415162721981,8.22912946124807,GSM1297645,Adipose
-32.217012236963,-5.95342933673522,5.00872138098092,GSM1297660,Adipose
-8.40325156206137,19.2789161686751,7.63089321011697,GSM1297674,Adipose
4.58857487634124,12.1054444957396,-7.28571371465266,GSM1306817,Colon
-19.8161100334311,9.72597031945326,-14.576984994667,GSM1328163,Prostate
17.6021417932585,-5.47649857478325,4.90224853555488,GSM1335489,Spleen
6.56195946751226,-16.5758209069705,2.78768567972566,GSM1335689,WholeBlood
